s1,s2,s3,c1,c2,c3,rank
0.930232558,0.790697674,0.930232558,0.8375,1,0.9,57
1,0.931818182,0.704545455,1,1,0.7375,56
0.957446809,0.872340426,0.978723404,0.925,1,0.9875,53
0.85106383,0.808510638,0.531914894,1,1,0.6375,53
0.88372093,0.744186047,0.744186047,0.9625,1,0.9,57
0.958333333,0.854166667,1,0.975,1,1,52
0.979166667,0.895833333,0.875,0.975,1,0.9125,52
0.822222222,0.755555556,0.622222222,0.9375,1,0.7875,55
0.87755102,0.795918367,0.857142857,0.9125,1,0.9,51
1,0.914893617,0.744680851,0.9,1,0.7125,53
0.931818182,0.886363636,0.931818182,0.8,1,0.9875,56
0.816326531,0.857142857,0.510204082,0.875,1,0.6375,51
0.714285714,0.80952381,0.928571429,0.85,1,0.9875,58
0.804347826,0.782608696,0.760869565,0.9625,1,0.8375,54
0.931818182,0.863636364,0.886363636,0.9125,1,0.9,56
0.97826087,0.913043478,1,0.975,1,0.9875,54
0.951219512,0.731707317,0.512195122,0.8,1,0.5875,59
0.565217391,0.673913043,0.543478261,0.6125,1,0.6625,54
0.880952381,0.880952381,0.69047619,0.8,1,0.825,58
0.9375,0.791666667,0.9375,0.875,1,0.8875,52
0.782608696,0.782608696,0.97826087,0.9375,1,1,54
0.869565217,0.847826087,0.847826087,0.95,1,0.8375,54
0.804878049,0.707317073,0.756097561,0.6875,1,0.8125,59
0.928571429,0.714285714,0.904761905,0.8875,1,0.875,58
1,0.836734694,0.836734694,1,1,0.9625,51
0.9,0.86,0.82,0.8875,1,0.7625,50
0.880952381,0.904761905,1,0.8625,1,1,58
0.928571429,0.80952381,0.80952381,0.9625,1,0.775,58
0.930232558,0.837209302,0.976744186,0.8625,1,0.975,57
0.897959184,0.918367347,0.530612245,0.9625,1,0.7,51
0.863636364,0.886363636,0.5,0.875,1,0.675,56
0.977777778,0.888888889,0.666666667,0.975,1,0.675,55
0.955555556,0.866666667,0.955555556,0.9625,1,0.775,55
0.978723404,0.872340426,1,0.9125,1,1,53
0.918367347,0.87755102,1,0.8375,1,1,51
0.954545455,0.840909091,0.954545455,0.9375,1,0.975,56
0.871794872,0.743589744,0.948717949,0.9,1,0.95,61
0.833333333,0.880952381,0.880952381,0.8625,1,0.8375,58
1,0.804878049,1,0.9625,1,1,59
0.80952381,0.857142857,0.928571429,0.9,1,1,58
0.930232558,0.906976744,0.860465116,0.9375,1,0.9625,57
0.913043478,0.934782609,0.869565217,1,1,0.9375,54
0.891304348,0.891304348,0.934782609,0.9125,1,0.9,54
0.893617021,0.872340426,1,0.9375,1,0.9625,53
0.904761905,0.952380952,0.80952381,0.975,1,0.8,58
0.977777778,0.911111111,0.977777778,0.9375,1,0.975,55
0.888888889,0.844444444,0.533333333,0.975,1,0.65,55
0.906976744,0.953488372,0.930232558,0.9125,1,0.9625,57
0.928571429,0.785714286,0.976190476,0.875,1,0.9625,58
0.837209302,0.790697674,1,0.875,1,0.9875,57
0.891304348,0.891304348,0.956521739,1,1,0.9625,54
0.844444444,0.8,0.933333333,0.8625,1,0.9,55
0.844444444,0.777777778,0.777777778,0.9375,1,0.8125,55
0.921052632,0.894736842,1,0.9375,1,0.9875,62
1,0.936170213,0.765957447,0.95,1,0.7375,53
0.872340426,0.744680851,0.829787234,0.8,1,0.8,53
0.886363636,0.772727273,0.636363636,0.9125,1,0.7125,56
0.977777778,0.8,0.533333333,0.8625,1,0.6875,55
0.85106383,0.723404255,0.978723404,0.8625,1,0.95,53
0.934782609,0.739130435,0.934782609,0.9125,1,0.8875,54
0.863636364,0.840909091,0.977272727,0.85,1,1,56
0.875,0.8125,0.583333333,0.8875,1,0.6375,52
0.822222222,0.733333333,0.888888889,0.725,1,0.9375,55
0.909090909,0.795454545,0.75,0.9625,1,0.85,56
0.977272727,0.772727273,0.795454545,1,1,0.8625,56
0.886363636,0.795454545,0.909090909,0.9125,1,0.975,56
0.4375,0.541666667,0.5625,0.575,1,0.575,52
0.976190476,0.833333333,0.976190476,0.8625,1,0.925,58
0.85106383,0.787234043,0.85106383,0.95,1,0.875,53
0.744680851,0.787234043,0.936170213,0.9375,1,0.975,53
0.911111111,0.822222222,0.955555556,0.85,1,0.85,55
0.825,0.875,0.975,0.9875,1,0.975,60
0.914893617,0.85106383,0.978723404,0.9625,1,0.975,53
0.952380952,0.738095238,0.69047619,0.9875,1,0.7375,58
0.8125,0.854166667,0.958333333,0.7875,1,1,52
0.976190476,0.857142857,0.952380952,0.9125,1,0.9875,58
1,0.844444444,0.822222222,0.9625,1,0.9125,55
0.869565217,0.847826087,0.956521739,0.9375,1,0.95,54
0.976744186,0.930232558,0.76744186,0.9,1,0.825,57
0.978723404,0.893617021,0.936170213,0.925,1,0.875,53
0.954545455,0.931818182,1,0.9375,1,0.9125,56
0.872340426,0.808510638,0.638297872,0.5875,1,0.8375,53
0.933333333,0.888888889,1,0.85,1,0.95,55
0.822222222,0.888888889,0.888888889,0.9375,1,0.85,55
0.886363636,0.818181818,0.75,0.9625,1,0.7625,56
0.822222222,0.844444444,0.977777778,0.9625,1,0.975,55
0.953488372,0.76744186,0.651162791,0.8375,1,0.85,57
0.975,0.9,0.975,0.8625,1,0.9875,60
1,0.86,0.84,0.925,1,0.9875,50
0.733333333,0.777777778,1,0.825,1,0.95,55
0.782608696,0.891304348,0.695652174,0.9125,1,0.7,54
1,0.888888889,0.933333333,0.9875,1,0.9625,55
0.977777778,0.8,0.911111111,0.925,1,0.925,55
0.872340426,0.829787234,0.723404255,0.9875,1,0.8375,53
0.914893617,0.829787234,0.659574468,0.9625,1,0.775,53
0.5,0.75,0.659090909,0.6125,1,0.6125,56
0.777777778,0.777777778,0.666666667,0.7125,1,0.7125,55
0.945945946,0.864864865,0.945945946,0.9375,1,0.9625,63
0.720930233,0.813953488,0.88372093,0.7875,1,0.9,57
0.959183673,0.836734694,0.897959184,1,1,0.925,51
0.886363636,0.909090909,0.818181818,0.95,1,0.925,56
0.893617021,0.85106383,0.468085106,1,1,0.675,53
0.923076923,0.871794872,0.974358974,0.825,1,0.9375,61
0.8125,0.791666667,0.958333333,0.975,1,0.975,52
0.974358974,0.871794872,0.974358974,0.975,1,0.975,61
0.866666667,0.844444444,0.511111111,0.6375,1,0.6625,55
0.88372093,0.906976744,0.930232558,0.9125,1,0.9375,57
0.955555556,0.955555556,0.688888889,0.9375,1,0.7875,55
0.909090909,0.863636364,0.863636364,0.85,1,0.7875,56
0.85106383,0.787234043,0.808510638,0.925,1,0.775,53
0.956521739,0.956521739,0.804347826,0.775,1,0.775,54
0.87804878,0.731707317,0.414634146,0.9,1,0.6625,59
0.909090909,0.886363636,0.727272727,0.775,1,0.7125,56
0.978723404,0.914893617,0.914893617,0.8375,1,0.9875,53
0.978723404,0.936170213,0.957446809,0.9375,1,0.925,53
0.930232558,0.76744186,1,1,1,1,57
0.761904762,0.714285714,0.69047619,0.9625,1,0.7,58
0.844444444,0.866666667,1,0.9875,1,1,55
0.761904762,0.833333333,0.904761905,0.65,1,0.975,58
0.930232558,0.930232558,0.930232558,0.8875,1,0.95,57
0.755102041,0.87755102,0.857142857,0.9375,1,0.9375,51
0.977272727,0.795454545,0.590909091,0.9375,1,0.7125,56
0.933333333,0.844444444,0.555555556,0.9625,1,0.6,55
0.891891892,0.918918919,0.918918919,0.95,1,0.8875,63
0.853658537,0.829268293,0.951219512,1,1,0.975,59
0.976190476,0.785714286,0.952380952,1,1,0.9375,58
0.97826087,0.956521739,0.934782609,0.9375,1,0.8125,54
1,0.933333333,0.933333333,0.9875,1,0.9625,55
0.872340426,0.872340426,0.872340426,0.6375,1,0.825,53
0.785714286,0.833333333,0.952380952,0.9,1,1,58
0.70212766,0.872340426,0.787234043,0.9,1,0.8375,53
0.976744186,0.930232558,0.976744186,0.8875,1,0.95,57
0.9,0.82,0.66,0.875,1,0.8375,50
0.860465116,0.837209302,0.581395349,0.9875,1,0.6875,57
0.934782609,0.913043478,0.782608696,0.9375,1,0.8875,54
0.853658537,0.804878049,0.926829268,0.9,1,0.875,59
0.901960784,0.882352941,0.980392157,0.9,1,1,49
0.888888889,0.955555556,0.755555556,0.925,1,0.7875,55
0.913043478,0.869565217,0.608695652,0.975,1,0.675,54
0.979166667,0.791666667,0.625,0.8625,1,0.7375,52
0.931818182,0.886363636,1,1,1,1,56
0.955555556,0.911111111,0.977777778,0.975,1,0.925,55
0.818181818,0.818181818,1,1,1,1,56
0.928571429,0.880952381,0.619047619,0.975,1,0.7,58
0.720930233,0.860465116,0.813953488,1,1,0.95,57
1,0.888888889,0.955555556,1,1,0.7375,55
0.577777778,0.733333333,0.422222222,0.7625,1,0.55,55
0.975,0.8,0.675,0.9125,1,0.675,60
0.822222222,0.755555556,0.777777778,0.8375,1,0.8625,55
0.880952381,0.785714286,0.904761905,0.8625,1,0.8875,58
0.97826087,0.782608696,0.760869565,0.975,1,0.875,54
0.979166667,0.958333333,1,0.975,1,1,52
0.909090909,0.954545455,0.977272727,0.9125,1,0.925,56
1,0.787234043,0.744680851,0.8625,1,0.6375,53
0.956521739,0.847826087,0.891304348,0.95,1,0.8875,54
0.880952381,0.833333333,0.976190476,0.975,1,0.9875,58
1,0.727272727,0.863636364,1,1,0.9125,56
0.75,0.772727273,0.409090909,0.8625,1,0.6375,56
0.934782609,0.891304348,1,0.925,1,0.9875,54
0.953488372,0.860465116,0.88372093,0.9,1,0.875,57
0.893617021,0.787234043,0.872340426,0.9375,1,0.85,53
0.822222222,0.777777778,0.977777778,0.975,1,0.9375,55
1,0.888888889,0.711111111,0.9125,1,0.8125,55
0.780487805,0.756097561,1,0.7875,1,1,59
0.959183673,0.93877551,0.979591837,0.925,1,0.95,51
0.68,0.88,0.98,0.8,1,0.95,50
0.909090909,0.863636364,0.840909091,0.9,1,0.85,56
0.977777778,0.8,0.911111111,0.975,1,0.95,55
0.978723404,0.765957447,0.829787234,0.9875,1,0.9375,53
0.886363636,0.818181818,0.931818182,0.925,1,0.9375,56
0.979166667,0.854166667,0.791666667,0.9375,1,0.6875,52
0.952380952,0.833333333,0.857142857,0.8625,1,0.875,58
0.904761905,0.880952381,0.714285714,0.85,1,0.725,58
0.972222222,0.861111111,0.638888889,0.95,1,0.825,64
0.836734694,0.93877551,0.489795918,0.825,1,0.625,51
0.916666667,0.833333333,0.979166667,0.975,1,0.9875,52
0.88372093,0.860465116,0.697674419,0.8375,1,0.675,57
0.914893617,0.85106383,0.808510638,0.8875,1,0.9375,53
1,0.85106383,0.978723404,0.9625,1,0.9875,53
1,0.934782609,0.869565217,0.975,1,0.8375,54
0.760869565,0.782608696,0.760869565,0.9375,1,0.85,54
0.891304348,0.869565217,0.97826087,0.9375,1,0.9375,54
0.979591837,0.87755102,0.755102041,0.95,1,0.75,51
0.826086957,0.869565217,0.956521739,0.8625,1,0.9625,54
0.893617021,0.85106383,0.70212766,0.8375,1,0.7,53
0.822222222,0.888888889,0.888888889,1,1,0.95,55
0.906976744,0.76744186,1,0.9,1,0.9375,57
