n,m,k,e,eta,max_round,subsize,score
100,100,1,5,0.1,5000,6,0.92
100,100,1,5,0.1,5000,6,1
100,100,1,5,0.1,5000,6,0.76
100,100,1,5,0.1,5000,6,0.85
100,100,1,5,0.1,5000,6,0.92
100,100,1,5,0.1,5000,6,1
100,100,1,5,0.1,5000,6,0.91
100,100,1,5,0.1,5000,6,1
100,100,1,5,0.1,5000,6,0.97
100,100,1,5,0.1,5000,6,0.9
100,100,1,5,0.1,5000,6,0.96
100,100,1,5,0.1,5000,6,0.9
100,100,1,5,0.1,5000,6,0.97
100,100,1,5,0.1,5000,6,0.84
100,100,1,5,0.1,5000,6,0.87
100,100,1,5,0.1,5000,6,0.87
100,100,1,5,0.1,5000,6,0.99
100,100,1,5,0.1,5000,6,0.84
100,100,1,5,0.1,5000,6,0.98
100,100,1,5,0.1,5000,6,0.82
100,100,1,5,0.1,5000,6,0.87
100,100,1,5,0.1,5000,6,0.85
100,100,1,5,0.1,5000,6,0.84
100,100,1,5,0.1,5000,6,0.91
100,100,1,5,0.1,5000,6,0.99
100,100,1,5,0.1,5000,6,0.98
100,100,1,5,0.1,5000,6,0.87
100,100,1,5,0.1,5000,6,0.81
100,100,1,5,0.1,5000,6,0.91
100,100,1,5,0.1,5000,6,0.99
100,100,1,5,0.1,5000,6,0.97
100,100,1,5,0.1,5000,6,0.92
100,100,1,5,0.1,5000,6,1
100,100,1,5,0.1,5000,6,0.82
100,100,1,5,0.1,5000,6,0.95
100,100,1,5,0.1,5000,6,0.83
100,100,1,5,0.1,5000,7,1
100,100,1,5,0.1,5000,7,1
100,100,1,5,0.1,5000,7,0.89
100,100,1,5,0.1,5000,7,0.93
100,100,1,5,0.1,5000,7,0.92
100,100,1,5,0.1,5000,7,0.98
100,100,1,5,0.1,5000,7,0.83
100,100,1,5,0.1,5000,7,0.9
100,100,1,5,0.1,5000,7,1
100,100,1,5,0.1,5000,7,0.95
100,100,1,5,0.1,5000,7,0.9
100,100,1,5,0.1,5000,7,0.92
100,100,1,5,0.1,5000,7,0.92
100,100,1,5,0.1,5000,7,0.92
100,100,1,5,0.1,5000,7,0.92
100,100,1,5,0.1,5000,7,0.85
100,100,1,5,0.1,5000,7,0.79
100,100,1,5,0.1,5000,7,0.97
100,100,1,5,0.1,5000,7,0.92
100,100,1,5,0.1,5000,7,0.92
100,100,1,5,0.1,5000,7,0.82
100,100,1,5,0.1,5000,7,0.94
100,100,1,5,0.1,5000,7,0.7
100,100,1,5,0.1,5000,7,0.96
100,100,1,5,0.1,5000,7,0.89
100,100,1,5,0.1,5000,7,1
100,100,1,5,0.1,5000,7,0.91
100,100,1,5,0.1,5000,7,0.97
100,100,1,5,0.1,5000,7,0.97
100,100,1,5,0.1,5000,7,0.9
100,100,1,5,0.1,5000,7,0.87
100,100,1,5,0.1,5000,7,0.89
100,100,1,5,0.1,5000,7,0.97
100,100,1,5,0.1,5000,7,0.98
100,100,1,5,0.1,5000,7,0.92
100,100,1,5,0.1,5000,7,0.92
100,100,1,5,0.1,5000,7,0.98
100,100,1,5,0.1,5000,7,0.98
100,100,1,5,0.1,5000,7,0.82
100,100,1,5,0.1,5000,7,1
100,100,1,5,0.1,5000,7,0.88
100,100,1,5,0.1,5000,7,0.92
100,100,1,5,0.1,5000,7,0.92
100,100,1,5,0.1,5000,7,1
100,100,1,5,0.1,5000,7,0.87
100,100,1,5,0.1,5000,7,0.92
100,100,1,5,0.1,5000,7,0.91
100,100,1,5,0.1,5000,7,0.87
100,100,1,5,0.1,5000,7,0.97
100,100,1,5,0.1,5000,7,0.85
100,100,1,5,0.1,5000,8,0.79
100,100,1,5,0.1,5000,8,0.87
100,100,1,5,0.1,5000,8,0.85
100,100,1,5,0.1,5000,8,0.78
100,100,1,5,0.1,5000,8,0.97
100,100,1,5,0.1,5000,8,0.92
100,100,1,5,0.1,5000,8,0.81
100,100,1,5,0.1,5000,8,0.85
100,100,1,5,0.1,5000,8,0.95
100,100,1,5,0.1,5000,8,0.87
100,100,1,5,0.1,5000,8,0.91
100,100,1,5,0.1,5000,8,0.84
100,100,1,5,0.1,5000,8,0.7
100,100,1,5,0.1,5000,8,0.82
100,100,1,5,0.1,5000,8,0.95
100,100,1,5,0.1,5000,8,0.93
100,100,1,5,0.1,5000,8,0.99
100,100,1,5,0.1,5000,8,0.97
100,100,1,5,0.1,5000,8,0.98
100,100,1,5,0.1,5000,8,0.92
100,100,1,5,0.1,5000,8,0.98
100,100,1,5,0.1,5000,8,0.96
100,100,1,5,0.1,5000,8,0.88
100,100,1,5,0.1,5000,8,0.79
100,100,1,5,0.1,5000,8,0.92
100,100,1,5,0.1,5000,8,0.87
100,100,1,5,0.1,5000,8,0.89
100,100,1,5,0.1,5000,8,1
100,100,1,5,0.1,5000,8,0.85
100,100,1,5,0.1,5000,8,0.76
100,100,1,5,0.1,5000,8,0.91
100,100,1,5,0.1,5000,8,0.91
100,100,1,5,0.1,5000,8,0.86
100,100,1,5,0.1,5000,8,0.75
100,100,1,5,0.1,5000,8,1
100,100,1,5,0.1,5000,8,0.95
100,100,1,5,0.1,5000,8,0.87
100,100,1,5,0.1,5000,8,0.77
100,100,1,5,0.1,5000,8,0.96
100,100,1,5,0.1,5000,8,0.9
100,100,1,5,0.1,5000,8,0.92
100,100,1,5,0.1,5000,8,0.78
100,100,1,5,0.1,5000,8,1
100,100,1,5,0.1,5000,8,0.84
100,100,1,5,0.1,5000,8,0.85
100,100,1,5,0.1,5000,8,0.76
100,100,1,5,0.1,5000,8,0.9
100,100,1,5,0.1,5000,8,0.86
100,100,1,5,0.1,5000,8,0.92
100,100,1,5,0.1,5000,8,0.86
100,100,1,5,0.1,5000,9,0.92
100,100,1,5,0.1,5000,9,0.87
100,100,1,5,0.1,5000,9,0.9
100,100,1,5,0.1,5000,9,0.92
100,100,1,5,0.1,5000,9,0.91
100,100,1,5,0.1,5000,9,0.96
100,100,1,5,0.1,5000,9,0.97
100,100,1,5,0.1,5000,9,0.73
100,100,1,5,0.1,5000,9,0.88
100,100,1,5,0.1,5000,9,0.87
100,100,1,5,0.1,5000,9,0.87
100,100,1,5,0.1,5000,9,0.89
100,100,1,5,0.1,5000,9,0.97
100,100,1,5,0.1,5000,9,0.84
100,100,1,5,0.1,5000,9,0.95
100,100,1,5,0.1,5000,9,0.92
100,100,1,5,0.1,5000,9,0.98
100,100,1,5,0.1,5000,9,0.86
100,100,1,5,0.1,5000,9,0.86
100,100,1,5,0.1,5000,9,0.87
100,100,1,5,0.1,5000,9,0.95
100,100,1,5,0.1,5000,9,1
100,100,1,5,0.1,5000,9,0.7
100,100,1,5,0.1,5000,9,0.86
100,100,1,5,0.1,5000,9,0.92
100,100,1,5,0.1,5000,9,0.88
100,100,1,5,0.1,5000,9,0.97
100,100,1,5,0.1,5000,9,1
100,100,1,5,0.1,5000,9,0.98
100,100,1,5,0.1,5000,9,1
100,100,1,5,0.1,5000,9,0.82
100,100,1,5,0.1,5000,9,0.85
100,100,1,5,0.1,5000,9,0.87
100,100,1,5,0.1,5000,9,0.87
100,100,1,5,0.1,5000,9,0.92
100,100,1,5,0.1,5000,9,0.87
100,100,1,5,0.1,5000,9,0.92
100,100,1,5,0.1,5000,9,0.91
100,100,1,5,0.1,5000,9,0.92
100,100,1,5,0.1,5000,9,0.97
100,100,1,5,0.1,5000,9,0.87
100,100,1,5,0.1,5000,9,0.83
100,100,1,5,0.1,5000,9,0.98
100,100,1,5,0.1,5000,9,0.98
100,100,1,5,0.1,5000,9,0.92
100,100,1,5,0.1,5000,9,0.87
100,100,1,5,0.1,5000,9,0.96
100,100,1,5,0.1,5000,9,1
100,100,1,5,0.1,5000,9,0.87
100,100,1,5,0.1,5000,9,0.86
100,100,1,5,0.1,5000,10,0.85
100,100,1,5,0.1,5000,10,0.91
100,100,1,5,0.1,5000,10,0.7
100,100,1,5,0.1,5000,10,0.78
100,100,1,5,0.1,5000,10,0.92
100,100,1,5,0.1,5000,10,0.85
100,100,1,5,0.1,5000,10,0.95
100,100,1,5,0.1,5000,10,0.89
100,100,1,5,0.1,5000,10,0.95
100,100,1,5,0.1,5000,10,0.95
100,100,1,5,0.1,5000,10,0.91
100,100,1,5,0.1,5000,10,0.97
100,100,1,5,0.1,5000,10,0.98
100,100,1,5,0.1,5000,10,1
100,100,1,5,0.1,5000,10,0.91
100,100,1,5,0.1,5000,10,0.82
100,100,1,5,0.1,5000,10,0.87
100,100,1,5,0.1,5000,10,0.92
100,100,1,5,0.1,5000,10,0.89
100,100,1,5,0.1,5000,10,0.83
100,100,1,5,0.1,5000,10,0.71
100,100,1,5,0.1,5000,10,0.97
100,100,1,5,0.1,5000,10,0.92
100,100,1,5,0.1,5000,10,0.82
100,100,1,5,0.1,5000,10,0.9
100,100,1,5,0.1,5000,10,0.95
100,100,1,5,0.1,5000,10,0.99
100,100,1,5,0.1,5000,10,0.87
100,100,1,5,0.1,5000,10,0.98
100,100,1,5,0.1,5000,10,0.85
100,100,1,5,0.1,5000,10,0.87
100,100,1,5,0.1,5000,10,0.87
100,100,1,5,0.1,5000,10,0.92
100,100,1,5,0.1,5000,10,0.97
100,100,1,5,0.1,5000,10,0.99
100,100,1,5,0.1,5000,10,1
100,100,1,5,0.1,5000,10,0.97
100,100,1,5,0.1,5000,10,0.92
100,100,1,5,0.1,5000,10,0.92
100,100,1,5,0.1,5000,10,0.92
100,100,1,5,0.1,5000,10,0.78
100,100,1,5,0.1,5000,10,0.92
100,100,1,5,0.1,5000,10,0.97
100,100,1,5,0.1,5000,10,0.92
100,100,1,5,0.1,5000,10,0.87
100,100,1,5,0.1,5000,10,0.89
100,100,1,5,0.1,5000,10,0.82
100,100,1,5,0.1,5000,10,0.92
100,100,1,5,0.1,5000,10,0.81
100,100,1,5,0.1,5000,10,0.97
